fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,composition_temp_id,density_value,density_uncertainty,thermalConductivity_value,thermalConductivity_uncertainty,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,measured
"['Choline Chloride', 'Glycerol']",density,1.18325,0.0005,320.65,"[0.333333333333, 0.666666666667]",59880f48-c853-4b41-9789-c4deac95d9f0,10.1016/j.jct.2018.07.031,0.666666666667,320.65,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 320.65, '59880f48-c853-4b41-9789-c4deac95d9f0')",1.18325,0.0005,,,,,0.0,"(0.710130687316902, 0.6046852192663268, 0.19426060163712158)",measured
"['Choline Chloride', 'Glycerol']",density,1.18465,0.0005,318.15,"[0.333333333333, 0.666666666667]",3a20a90d-7a3c-465e-998d-af242cdfdf52,10.1016/j.jct.2018.07.031,0.666666666667,318.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 318.15, '3a20a90d-7a3c-465e-998d-af242cdfdf52')",1.18465,0.0005,,,,,0.0,"(0.710130687316902, 0.6046852192663268, 0.19426060163712158)",measured
"['Choline Chloride', 'Glycerol']",density,1.171,5e-05,327.621,"[0.333333333333, 0.666666666667]",0f16a570-5d44-40cf-8fb1-60cf82aea821,10.1016/j.molliq.2015.11.032,0.666666666667,327.621,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 327.621, '0f16a570-5d44-40cf-8fb1-60cf82aea821')",1.171,5e-05,,,,,0.0,"(0.5432776721247529, 0.6540981095185215, 0.19324494273892204)",measured
"['Choline Chloride', 'Glycerol']",density,1.178,5e-05,319.08,"[0.333333333333, 0.666666666667]",ccb9cedb-b225-4a26-ae4d-eb9553dae82a,10.1016/j.molliq.2015.11.032,0.666666666667,319.08,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 319.08, 'ccb9cedb-b225-4a26-ae4d-eb9553dae82a')",1.178,5e-05,,,,,0.0,"(0.5432776721247529, 0.6540981095185215, 0.19324494273892204)",measured
"['Choline Chloride', 'Glycerol']",density,1.183,5e-05,310.608,"[0.333333333333, 0.666666666667]",94f979f4-97b8-4d6b-bc04-c8aecc9a166b,10.1016/j.molliq.2015.11.032,0.666666666667,310.608,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 310.608, '94f979f4-97b8-4d6b-bc04-c8aecc9a166b')",1.183,5e-05,,,,,0.0,"(0.5432776721247529, 0.6540981095185215, 0.19324494273892204)",measured
"['Choline Chloride', 'Glycerol']",density,1.188,5e-05,302.136,"[0.333333333333, 0.666666666667]",70a997dd-dfa1-45fc-b24e-809f6861f985,10.1016/j.molliq.2015.11.032,0.666666666667,302.136,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 302.136, '70a997dd-dfa1-45fc-b24e-809f6861f985')",1.188,5e-05,,,,,0.0,"(0.5432776721247529, 0.6540981095185215, 0.19324494273892204)",measured
"['Choline Chloride', 'Glycerol']",density,1.191,5e-05,297.9,"[0.333333333333, 0.666666666667]",c82d6935-b367-4608-a2ca-6423329c312d,10.1016/j.molliq.2015.11.032,0.666666666667,297.9,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 297.9, 'c82d6935-b367-4608-a2ca-6423329c312d')",1.191,5e-05,,,,,0.0,"(0.5432776721247529, 0.6540981095185215, 0.19324494273892204)",measured
"['Choline Chloride', 'Glycerol']",density,1.21,,295.15,"[0.333333333333, 0.666666666667]",db66565c-fb39-4929-8398-b98d8ce66907,NO,0.666666666667,295.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 295.15, 'db66565c-fb39-4929-8398-b98d8ce66907')",1.21,,,,,,0.0,"(0.9628653850704804, 0.4025928454059796, 0.7779310354076443)",measured
"['Choline Chloride', 'Glycerol']",density,1.1791,0.0005,328.15,"[0.333333333333, 0.666666666667]",a0936a40-d45a-4d0d-9aa4-3de28361d66f,10.1016/j.jct.2018.07.031,0.666666666667,328.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 328.15, 'a0936a40-d45a-4d0d-9aa4-3de28361d66f')",1.1791,0.0005,,,,,0.0,"(0.710130687316902, 0.6046852192663268, 0.19426060163712158)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.064,0.00128,323.0,"[0.333333333333, 0.666666666667]",b261d2d9-0d3b-41a7-a16d-763351dabb98,10.1039/C1CP22554E,0.666666666667,323.0,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 323.0, 'b261d2d9-0d3b-41a7-a16d-763351dabb98')",,,,,0.064,0.00128,0.0,"(0.21420912437215422, 0.6714963557258681, 0.6986206664203177)",measured
