Compound 1;Compound 2;Compound 3;Molar Fraction 1;Molar Fraction 2;Molar Fraction 3;Property;Property Name;Standard Deviation Viscosity;Parameter;Type;Storage;Comment
Cholinchloride;Glycerol;Water;0,134;0,268;0,598;50,7833;Polarity;0;40;Time;open;ChCl-Gly (1:2)_20% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;6;Viscosity;0,060662;0;Time;none;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;7;Viscosity;0,057747;7;Time;closed;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;7;Viscosity;0,11103;14;Time;closed;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;6;Viscosity;0,1016;38;Time;closed;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;7;Viscosity;0,127651;7;Time;fridge;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;7;Viscosity;0,122152;14;Time;fridge;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;7;Viscosity;0,122522;38;Time;fridge;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;7;Viscosity;0,078154;7;Time;open;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;10;Viscosity;3,705655;14;Time;open;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;7;Viscosity;0,296441;40;Time;open;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;48,5416;Polarity;0;0;Time;none;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;48,87408;Polarity;0,236302;7;Time;closed;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;48,45932;Polarity;0;14;Time;closed;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;49,85357;Polarity;0,061468;38;Time;closed;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;48,70698;Polarity;0;7;Time;fridge;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;49,98427;Polarity;0;14;Time;fridge;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;49,90448;Polarity;0,86218;39;Time;fridge;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;48,29685;Polarity;0,346125;7;Time;open;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;48,83266;Polarity;0,294875;14;Time;open;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Glycerol;Water;0,067;0,133;0,8;49,72363;Polarity;0,122295;40;Time;open;ChCl-Gly (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;47;Viscosity;2,016727;0;Time;none;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;45;Viscosity;0,208293;7;Time;closed;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Viscosity;;14;Time;closed;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Viscosity;;38;Time;closed;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;45;Viscosity;0,312616;7;Time;fridge;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Viscosity;;14;Time;fridge;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Viscosity;;38;Time;fridge;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;46;Viscosity;0,494975;7;Time;open;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Viscosity;;14;Time;open;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Viscosity;;40;Time;open;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;50,15965;Polarity;0;0;Time;none;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;50,42567;Polarity;0,251544;7;Time;closed;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Polarity;;14;Time;closed;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Polarity;;38;Time;closed;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;51,33051;Polarity;0,130327;7;Time;fridge;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Polarity;;14;Time;fridge;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Polarity;;39;Time;fridge;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;50,82881;Polarity;0,191687;7;Time;open;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Polarity;;14;Time;open;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,333;0,667;0;crystallized;Polarity;;40;Time;open;ChCl-EG (1:2)_0% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,047254;0;Time;none;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,244929;7;Time;closed;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,493223;14;Time;closed;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,286564;38;Time;closed;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,133978;7;Time;fridge;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,026517;14;Time;fridge;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,555425;38;Time;fridge;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,055824;7;Time;open;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,227846;14;Time;open;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;12;Viscosity;0,225601;40;Time;open;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;49,33769;Polarity;0,180606;0;Time;none;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,33642;Polarity;0,125328;7;Time;closed;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,2478;Polarity;0;14;Time;closed;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,51413;Polarity;0;38;Time;closed;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,33642;Polarity;0,125328;7;Time;fridge;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,4699;Polarity;0,18899;14;Time;fridge;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,78346;Polarity;0,127564;39;Time;fridge;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;49,94095;Polarity;0,185049;7;Time;open;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,07196;Polarity;0,124015;14;Time;open;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,14;0,28;0,58;50,7833;Polarity;0;40;Time;open;ChCl-EG (1:2)_20% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;4,61;Viscosity;0,020206;0;Time;none;ChCl-EG (1:2)_40% H2O
