Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,1385,0,0.017154702,293.15,10.1021/ie50273a022
NG,1102,0,0.017154702,295.65,10.1021/ie50273a022
NG,884,0,0.017154702,298.15,10.1021/ie50273a022
NG,715.5,0,0.017154702,300.65,10.1021/ie50273a022
NG,583.3,0,0.017154702,303.15,10.1021/ie50273a022
NG,1158,0,0.056642391,293.15,10.1021/ie50273a022
NG,926,0,0.056642391,295.65,10.1021/ie50273a022
NG,747.4,0,0.056642391,298.15,10.1021/ie50273a022
NG,607.3,0,0.056642391,300.65,10.1021/ie50273a022
NG,496.2,0,0.056642391,303.15,10.1021/ie50273a022
NG,986,0,0.091913063,293.15,10.1021/ie50273a022
NG,789.8,0,0.091913063,295.65,10.1021/ie50273a022
NG,636.8,0,0.091913063,298.15,10.1021/ie50273a022
NG,519.8,0,0.091913063,300.65,10.1021/ie50273a022
NG,427.2,0,0.091913063,303.15,10.1021/ie50273a022
NG,783.5,0,0.141054518,293.15,10.1021/ie50273a022
NG,629.6,0,0.141054518,295.65,10.1021/ie50273a022
NG,512.3,0,0.141054518,298.15,10.1021/ie50273a022
NG,420.7,0,0.141054518,300.65,10.1021/ie50273a022
NG,346.7,0,0.141054518,303.15,10.1021/ie50273a022
NG,724,0,0.157296828,293.15,10.1021/ie50273a022
NG,582.9,0,0.157296828,295.65,10.1021/ie50273a022
NG,474.8,0,0.157296828,298.15,10.1021/ie50273a022
NG,389.9,0,0.157296828,300.65,10.1021/ie50273a022
NG,322.4,0,0.157296828,303.15,10.1021/ie50273a022
NG,671.6,0,0.172688067,293.15,10.1021/ie50273a022
NG,542.1,0,0.172688067,295.65,10.1021/ie50273a022
NG,441.8,0,0.172688067,298.15,10.1021/ie50273a022
NG,363.6,0,0.172688067,300.65,10.1021/ie50273a022
NG,300.6,0,0.172688067,303.15,10.1021/ie50273a022
NG,618.5,0,0.188754231,293.15,10.1021/ie50273a022
NG,499.5,0,0.188754231,295.65,10.1021/ie50273a022
NG,408.3,0,0.188754231,298.15,10.1021/ie50273a022
NG,336.6,0,0.188754231,300.65,10.1021/ie50273a022
NG,279.6,0,0.188754231,303.15,10.1021/ie50273a022
NG,565.6,0,0.205415724,293.15,10.1021/ie50273a022
NG,457.6,0,0.205415724,295.65,10.1021/ie50273a022
NG,374.9,0,0.205415724,298.15,10.1021/ie50273a022
NG,309.7,0,0.205415724,300.65,10.1021/ie50273a022
NG,257.2,0,0.205415724,303.15,10.1021/ie50273a022
NG,481.7,0,0.235529472,293.15,10.1021/ie50273a022
NG,390.7,0,0.235529472,295.65,10.1021/ie50273a022
NG,321.5,0,0.235529472,298.15,10.1021/ie50273a022
NG,266.3,0,0.235529472,300.65,10.1021/ie50273a022
NG,222.3,0,0.235529472,303.15,10.1021/ie50273a022
NG,442.3,0,0.2559447,293.15,10.1021/ie50273a022
NG,359.9,0,0.2559447,295.65,10.1021/ie50273a022
NG,295.9,0,0.2559447,298.15,10.1021/ie50273a022
NG,245.6,0,0.2559447,300.65,10.1021/ie50273a022
NG,205.9,0,0.2559447,303.15,10.1021/ie50273a022
NG,375.6,0,0.283540216,293.15,10.1021/ie50273a022
NG,306.8,0,0.283540216,295.65,10.1021/ie50273a022
NG,254.7,0,0.283540216,298.15,10.1021/ie50273a022
NG,212.1,0,0.283540216,300.65,10.1021/ie50273a022
NG,177.9,0,0.283540216,303.15,10.1021/ie50273a022
NG,337.9,0,0.302366908,293.15,10.1021/ie50273a022
NG,276.5,0,0.302366908,295.65,10.1021/ie50273a022
NG,229.2,0,0.302366908,298.15,10.1021/ie50273a022
NG,191.6,0,0.302366908,300.65,10.1021/ie50273a022
NG,161,0,0.302366908,303.15,10.1021/ie50273a022
NG,268,0,0.343816035,293.15,10.1021/ie50273a022
NG,220.5,0,0.343816035,295.65,10.1021/ie50273a022
NG,183.8,0,0.343816035,298.15,10.1021/ie50273a022
NG,154.4,0,0.343816035,300.65,10.1021/ie50273a022
NG,130.4,0,0.343816035,303.15,10.1021/ie50273a022
NG,231.6,0,0.365245851,293.15,10.1021/ie50273a022
NG,191.5,0,0.365245851,295.65,10.1021/ie50273a022
NG,160.6,0,0.365245851,298.15,10.1021/ie50273a022
NG,135.1,0,0.365245851,300.65,10.1021/ie50273a022
NG,114.5,0,0.365245851,303.15,10.1021/ie50273a022
NG,172.2,0,0.413464903,293.15,10.1021/ie50273a022
NG,143.4,0,0.413464903,295.65,10.1021/ie50273a022
NG,120.9,0,0.413464903,298.15,10.1021/ie50273a022
NG,102.7,0,0.413464903,300.65,10.1021/ie50273a022
NG,87.65,0,0.413464903,303.15,10.1021/ie50273a022
NG,140.42,0,0.442700858,293.15,10.1021/ie50273a022
NG,117.87,0,0.442700858,295.65,10.1021/ie50273a022
NG,99.86,0,0.442700858,298.15,10.1021/ie50273a022
NG,85.2,0,0.442700858,300.65,10.1021/ie50273a022
NG,73.12,0,0.442700858,303.15,10.1021/ie50273a022
NG,131.08,0,0.452959151,293.15,10.1021/ie50273a022
NG,110.2,0,0.452959151,295.65,10.1021/ie50273a022
NG,93.52,0,0.452959151,298.15,10.1021/ie50273a022
NG,79.81,0,0.452959151,300.65,10.1021/ie50273a022
NG,68.64,0,0.452959151,303.15,10.1021/ie50273a022
NG,103.17,0,0.488486633,293.15,10.1021/ie50273a022
NG,87.23,0,0.488486633,295.65,10.1021/ie50273a022
NG,74.5,0,0.488486633,298.15,10.1021/ie50273a022
NG,64.08,0,0.488486633,300.65,10.1021/ie50273a022
NG,55.29,0,0.488486633,303.15,10.1021/ie50273a022
NG,85.73,0,0.515214283,293.15,10.1021/ie50273a022
NG,72.75,0,0.515214283,295.65,10.1021/ie50273a022
NG,62.53,0,0.515214283,298.15,10.1021/ie50273a022
NG,54.01,0,0.515214283,300.65,10.1021/ie50273a022
NG,46.9,0,0.515214283,303.15,10.1021/ie50273a022
NG,70.28,0,0.548198116,293.15,10.1021/ie50273a022
NG,60.08,0,0.548198116,295.65,10.1021/ie50273a022
NG,51.9,0,0.548198116,298.15,10.1021/ie50273a022
NG,57.79,0,0.570776626,293.15,10.1021/ie50273a022
NG,49.52,0,0.570776626,295.65,10.1021/ie50273a022
NG,42.85,0,0.570776626,298.15,10.1021/ie50273a022
NG,37.49,0,0.570776626,300.65,10.1021/ie50273a022
NG,32.86,0,0.570776626,303.15,10.1021/ie50273a022
NG,47.97,0,0.594728744,293.15,10.1021/ie50273a022
NG,41.41,0,0.594728744,295.65,10.1021/ie50273a022
NG,36.08,0,0.594728744,298.15,10.1021/ie50273a022
NG,31.58,0,0.594728744,300.65,10.1021/ie50273a022
NG,27.81,0,0.594728744,303.15,10.1021/ie50273a022
NG,38.98,0,0.621668533,293.15,10.1021/ie50273a022
NG,33.8,0,0.621668533,295.65,10.1021/ie50273a022
NG,29.61,0,0.621668533,298.15,10.1021/ie50273a022
NG,26.06,0,0.621668533,300.65,10.1021/ie50273a022
NG,23.02,0,0.621668533,303.15,10.1021/ie50273a022
NG,35.11,0,0.635173305,293.15,10.1021/ie50273a022
NG,30.57,0,0.635173305,295.65,10.1021/ie50273a022
NG,26.81,0,0.635173305,298.15,10.1021/ie50273a022
NG,23.64,0,0.635173305,300.65,10.1021/ie50273a022
NG,20.97,0,0.635173305,303.15,10.1021/ie50273a022
NG,28.57,0,0.661056094,293.15,10.1021/ie50273a022
NG,24.98,0,0.661056094,295.65,10.1021/ie50273a022
NG,22.03,0,0.661056094,298.15,10.1021/ie50273a022
NG,19.56,0,0.661056094,300.65,10.1021/ie50273a022
