Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
2.72628,272.628,0.5,0.1999,298.15,10.1016/j.jct.2013.05.041
1.94097,194.097,0.5,0.1999,303.15,10.1016/j.jct.2013.05.041
1.4201,142.01,0.5,0.1999,308.15,10.1016/j.jct.2013.05.041
1.05769,105.769,0.5,0.1999,313.15,10.1016/j.jct.2013.05.041
0.82056,82.056,0.5,0.1999,318.15,10.1016/j.jct.2013.05.041
0.63466,63.466,0.5,0.1999,323.15,10.1016/j.jct.2013.05.041
0.50006,50.006,0.5,0.1999,328.15,10.1016/j.jct.2013.05.041
0.40143,40.143,0.5,0.1999,333.15,10.1016/j.jct.2013.05.041
0.31752,31.752,0.5,0.1999,338.15,10.1016/j.jct.2013.05.041
0.25829,25.829,0.5,0.1999,343.15,10.1016/j.jct.2013.05.041
3.81319,381.319,0.5,0.0992,298.15,10.1016/j.jct.2013.05.041
2.68164,268.164,0.5,0.0992,303.15,10.1016/j.jct.2013.05.041
1.93706,193.706,0.5,0.0992,308.15,10.1016/j.jct.2013.05.041
1.43105,143.105,0.5,0.0992,313.15,10.1016/j.jct.2013.05.041
1.07574,107.574,0.5,0.0992,318.15,10.1016/j.jct.2013.05.041
0.82833,82.833,0.5,0.0992,323.15,10.1016/j.jct.2013.05.041
0.64945,64.945,0.5,0.0992,328.15,10.1016/j.jct.2013.05.041
0.51641,51.641,0.5,0.0992,333.15,10.1016/j.jct.2013.05.041
0.41641,41.641,0.5,0.0992,338.15,10.1016/j.jct.2013.05.041
0.32988,32.988,0.5,0.0992,343.15,10.1016/j.jct.2013.05.041
5.13093,513.093,0.5,0,298.15,10.1016/j.jct.2013.05.041
3.514589,351.4589,0.5,0,303.15,10.1016/j.jct.2013.05.041
2.512543,251.2543,0.5,0,308.15,10.1016/j.jct.2013.05.041
1.828741,182.8741,0.5,0,313.15,10.1016/j.jct.2013.05.041
1.379542,137.9542,0.5,0,318.15,10.1016/j.jct.2013.05.041
1.041835,104.1835,0.5,0,323.15,10.1016/j.jct.2013.05.041
0.827882,82.7882,0.5,0,328.15,10.1016/j.jct.2013.05.041
0.655467,65.5467,0.5,0,333.15,10.1016/j.jct.2013.05.041
0.523401,52.3401,0.5,0,338.15,10.1016/j.jct.2013.05.041
0.425755,42.5755,0.5,0,343.15,10.1016/j.jct.2013.05.041
