Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
0.0354995,7.0999,0.5,0.7199,313.15,10.1016/j.fluid.2014.01.028
0.02538,5.076,0.5,0.7199,323.15,10.1016/j.fluid.2014.01.028
0.019729,3.9458,0.5,0.7199,333.15,10.1016/j.fluid.2014.01.028
0.0157595,3.1519,0.5,0.7199,343.15,10.1016/j.fluid.2014.01.028
0.0128585,2.5717,0.5,0.7199,353.15,10.1016/j.fluid.2014.01.028
0.010713,2.1426,0.5,0.7199,363.15,10.1016/j.fluid.2014.01.028
0.273153,54.6306,0.5,0.5978,283.15,10.1016/j.fluid.2014.01.028
0.164478,32.8956,0.5,0.5978,293.15,10.1016/j.fluid.2014.01.028
0.1067835,21.3567,0.5,0.5978,303.15,10.1016/j.fluid.2014.01.028
0.073675,14.735,0.5,0.5978,313.15,10.1016/j.fluid.2014.01.028
0.053193,10.6386,0.5,0.5978,323.15,10.1016/j.fluid.2014.01.028
0.038541,7.7082,0.5,0.5978,333.15,10.1016/j.fluid.2014.01.028
0.028374,5.6748,0.5,0.5978,343.15,10.1016/j.fluid.2014.01.028
0.022473,4.4946,0.5,0.5978,353.15,10.1016/j.fluid.2014.01.028
0.0181925,3.6385,0.5,0.5978,363.15,10.1016/j.fluid.2014.01.028
0.8898105,177.9621,0.5,0.4022,283.15,10.1016/j.fluid.2014.01.028
0.4797025,95.9405,0.5,0.4022,293.15,10.1016/j.fluid.2014.01.028
0.2823375,56.4675,0.5,0.4022,303.15,10.1016/j.fluid.2014.01.028
0.1790885,35.8177,0.5,0.4022,313.15,10.1016/j.fluid.2014.01.028
0.120453,24.0906,0.5,0.4022,323.15,10.1016/j.fluid.2014.01.028
0.0856855,17.1371,0.5,0.4022,333.15,10.1016/j.fluid.2014.01.028
0.0634395,12.6879,0.5,0.4022,343.15,10.1016/j.fluid.2014.01.028
0.047868,9.5736,0.5,0.4022,353.15,10.1016/j.fluid.2014.01.028
0.037524,7.5048,0.5,0.4022,363.15,10.1016/j.fluid.2014.01.028
1.195403,239.0806,0.5,0.3425,283.15,10.1016/j.fluid.2014.01.028
0.6296935,125.9387,0.5,0.3425,293.15,10.1016/j.fluid.2014.01.028
0.3605605,72.1121,0.5,0.3425,303.15,10.1016/j.fluid.2014.01.028
