fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,mole_fraction_Water,composition_temp_id,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,marker,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0004353,2.1765000000000003e-06,353.15,"[0.006033333333, 0.012066666667, 0.9819]",ced25828-68ae-4b2f-8a45-9aabf18ead4e,10.1016/j.fluid.2014.01.028,0.9819,353.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, 'ced25828-68ae-4b2f-8a45-9aabf18ead4e')",0.0004353,2.1765000000000003e-06,0.9819,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0009611,4.8055e-06,303.15,"[0.006033333333, 0.012066666667, 0.9819]",d8fef434-9671-48a8-a7d6-ebf0cfe15b65,10.1016/j.fluid.2014.01.028,0.9819,303.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, 'd8fef434-9671-48a8-a7d6-ebf0cfe15b65')",0.0009611,4.8055e-06,0.9819,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0012064999999999999,6.032499999999999e-06,293.15,"[0.006033333333, 0.012066666667, 0.9819]",b44e78a5-01ef-4ee2-8be1-f4d68d98f428,10.1016/j.fluid.2014.01.028,0.9819,293.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, 'b44e78a5-01ef-4ee2-8be1-f4d68d98f428')",0.0012064999999999999,6.032499999999999e-06,0.9819,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0007902,3.951e-06,313.15,"[0.006033333333, 0.012066666667, 0.9819]",17b86e08-0f7c-482c-aef8-1350a43bcff5,10.1016/j.fluid.2014.01.028,0.9819,313.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, '17b86e08-0f7c-482c-aef8-1350a43bcff5')",0.0007902,3.951e-06,0.9819,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0003862,1.931e-06,363.15,"[0.006033333333, 0.012066666667, 0.9819]",60220913-1f0b-4abe-a6d4-0ba83ac67e98,10.1016/j.fluid.2014.01.028,0.9819,363.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, '60220913-1f0b-4abe-a6d4-0ba83ac67e98')",0.0003862,1.931e-06,0.9819,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006578,3.2889999999999998e-06,323.15,"[0.006033333333, 0.012066666667, 0.9819]",0aa34759-a34e-4735-a466-741cc0e7d27b,10.1016/j.fluid.2014.01.028,0.9819,323.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '0aa34759-a34e-4735-a466-741cc0e7d27b')",0.0006578,3.2889999999999998e-06,0.9819,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0004654,2.327e-06,363.15,"[0.013266666667, 0.026533333333, 0.9602]",73948af9-4ead-4abf-8fcb-08854e3c5db1,10.1016/j.fluid.2014.01.028,0.9602,363.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, '73948af9-4ead-4abf-8fcb-08854e3c5db1')",0.0004654,2.327e-06,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006006000000000001,3.003e-06,343.15,"[0.013266666667, 0.026533333333, 0.9602]",682e1941-d14e-4053-8a6b-4dc2ef5f8c80,10.1016/j.fluid.2014.01.028,0.9602,343.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, '682e1941-d14e-4053-8a6b-4dc2ef5f8c80')",0.0006006000000000001,3.003e-06,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0020141,1.00705e-05,283.15,"[0.013266666667, 0.026533333333, 0.9602]",3c04f0d5-da07-485c-9bcd-3c0b69894e36,10.1016/j.fluid.2014.01.028,0.9602,283.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, '3c04f0d5-da07-485c-9bcd-3c0b69894e36')",0.0020141,1.00705e-05,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0015294,7.647e-06,293.15,"[0.013266666667, 0.026533333333, 0.9602]",a1ae2b22-5733-47e6-8480-2a2c2d4bdc14,10.1016/j.fluid.2014.01.028,0.9602,293.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, 'a1ae2b22-5733-47e6-8480-2a2c2d4bdc14')",0.0015294,7.647e-06,0.9602,#3185fc,s,measured
